REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Sales,Adjustments,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,DECIMALS
2019-01-01,"Montréal, Quebec",2016S0503462,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859727,7.30.1.1,6928.0,0
2019-01-01,"Quebec, Quebec",2016S0503421,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859757,8.30.1.1,2507.0,0
2019-01-01,Ontario,2021A000235,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859818,10.30.1.1,8945.0,0
2019-01-01,"Toronto, Ontario",2016S0503535,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859849,11.30.1.1,8945.0,0
2019-01-01,Manitoba,2021A000246,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859910,13.30.1.1,4274.0,0
2019-01-01,"Winnipeg, Manitoba",2016S0503602,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859940,14.30.1.1,3221.0,0
2019-01-01,Saskatchewan,2021A000247,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859971,15.30.1.1,2542.0,0
2019-01-01,Alberta,2021A000248,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860002,16.30.1.1,14037.0,0
2019-01-01,"Calgary, Alberta",2016S0503825,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860032,17.30.1.1,4708.0,0
2019-01-01,"Edmonton, Alberta",2016S0503835,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860062,18.30.1.1,4706.0,0
2019-01-01,British Columbia,2021A000259,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860093,19.30.1.1,1963.0,0
2019-01-01,Yukon,2021A000260,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860155,21.30.1.1,325.0,0
2019-01-01,Northwest Territories,2021A000261,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860186,22.30.1.1,144.0,0
2019-02-01,Canada,2021A000011124,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859541,1.30.1.1,52080.0,0
2019-02-01,Canada,2021A000011124,Cannabis retailers [459993],Total retail sales,Seasonally adjusted,Dollars,81,thousands,3,v1446870213,1.30.1.2,52080.0,0
2019-02-01,Newfoundland and Labrador,2021A000210,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859572,2.30.1.1,1834.0,0
2019-02-01,Prince Edward Island,2021A000211,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859603,3.30.1.1,1077.0,0
2019-02-01,Nova Scotia,2021A000212,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859634,4.30.1.1,4610.0,0
2019-02-01,New Brunswick,2021A000213,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859665,5.30.1.1,2677.0,0
2019-02-01,Quebec,2021A000224,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859696,6.30.1.1,11389.0,0
2019-02-01,"Montréal, Quebec",2016S0503462,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859727,7.30.1.1,7005.0,0
2019-02-01,"Quebec, Quebec",2016S0503421,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859757,8.30.1.1,2398.0,0
2019-02-01,Ontario,2021A000235,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859818,10.30.1.1,7537.0,0
2019-02-01,"Toronto, Ontario",2016S0503535,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859849,11.30.1.1,7537.0,0
2019-02-01,Manitoba,2021A000246,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859910,13.30.1.1,4088.0,0
2019-02-01,"Winnipeg, Manitoba",2016S0503602,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859940,14.30.1.1,2990.0,0
2019-02-01,Saskatchewan,2021A000247,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859971,15.30.1.1,4070.0,0
2019-02-01,Alberta,2021A000248,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860002,16.30.1.1,12384.0,0
2019-02-01,"Calgary, Alberta",2016S0503825,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860032,17.30.1.1,4080.0,0
2019-02-01,"Edmonton, Alberta",2016S0503835,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860062,18.30.1.1,4147.0,0
2019-02-01,British Columbia,2021A000259,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860093,19.30.1.1,1888.0,0
2019-02-01,Yukon,2021A000260,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860155,21.30.1.1,280.0,0
2019-02-01,Northwest Territories,2021A000261,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860186,22.30.1.1,246.0,0
2019-03-01,Canada,2021A000011124,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859541,1.30.1.1,60762.0,0
2019-03-01,Canada,2021A000011124,Cannabis retailers [459993],Total retail sales,Seasonally adjusted,Dollars,81,thousands,3,v1446870213,1.30.1.2,60762.0,0
2019-03-01,Newfoundland and Labrador,2021A000210,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859572,2.30.1.1,2341.0,0
2019-03-01,Prince Edward Island,2021A000211,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859603,3.30.1.1,1163.0,0
2019-03-01,Nova Scotia,2021A000212,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859634,4.30.1.1,4986.0,0
2019-03-01,New Brunswick,2021A000213,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859665,5.30.1.1,2930.0,0
2019-03-01,Quebec,2021A000224,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859696,6.30.1.1,14107.0,0
2019-03-01,"Montréal, Quebec",2016S0503462,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859727,7.30.1.1,8518.0,0
2019-03-01,"Quebec, Quebec",2016S0503421,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859757,8.30.1.1,2865.0,0
2019-03-01,Ontario,2021A000235,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859818,10.30.1.1,7690.0,0
2019-03-01,"Toronto, Ontario",2016S0503535,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859849,11.30.1.1,7690.0,0
2019-03-01,Manitoba,2021A000246,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859910,13.30.1.1,4750.0,0
2019-03-01,"Winnipeg, Manitoba",2016S0503602,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859940,14.30.1.1,3460.0,0
2019-03-01,Saskatchewan,2021A000247,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859971,15.30.1.1,5071.0,0
2019-03-01,Alberta,2021A000248,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860002,16.30.1.1,14483.0,0
2019-03-01,"Calgary, Alberta",2016S0503825,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860032,17.30.1.1,4656.0,0
2019-03-01,"Edmonton, Alberta",2016S0503835,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860062,18.30.1.1,5020.0,0
2019-03-01,British Columbia,2021A000259,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860093,19.30.1.1,2732.0,0
2019-03-01,Yukon,2021A000260,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860155,21.30.1.1,334.0,0
2019-03-01,Northwest Territories,2021A000261,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860186,22.30.1.1,175.0,0
2019-04-01,Canada,2021A000011124,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859541,1.30.1.1,74626.0,0
2019-04-01,Canada,2021A000011124,Cannabis retailers [459993],Total retail sales,Seasonally adjusted,Dollars,81,thousands,3,v1446870213,1.30.1.2,74626.0,0
2019-04-01,Newfoundland and Labrador,2021A000210,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859572,2.30.1.1,2369.0,0
2019-04-01,Prince Edward Island,2021A000211,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859603,3.30.1.1,1173.0,0
2019-04-01,Nova Scotia,2021A000212,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859634,4.30.1.1,4929.0,0
2019-04-01,New Brunswick,2021A000213,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859665,5.30.1.1,2863.0,0
2019-04-01,Quebec,2021A000224,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859696,6.30.1.1,13598.0,0
2019-04-01,"Montréal, Quebec",2016S0503462,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859727,7.30.1.1,7943.0,0
2019-04-01,"Quebec, Quebec",2016S0503421,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859757,8.30.1.1,2795.0,0
2019-04-01,Ontario,2021A000235,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859818,10.30.1.1,19677.0,0
2019-04-01,"Toronto, Ontario",2016S0503535,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859849,11.30.1.1,10728.0,0
2019-04-01,"Ottawa, Ontario",2016S050535505,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859879,12.30.1.1,3314.0,0
